title,abstract,keywords,year,journal_title,license,link_doi,link_pdf,query
"Sons, apprentices and successors in late medieval and early modern London: the transmission of skills and work opportunities","Book synopsis: The existence and changing of generations in family life, business and politics was a central feature of towns as well as rural societies in earlier times. Even so, it remains understudied by urban historians of the pre-modern period. This book aims to fill some of this gap, containing twelve studies of generations in late medieval and early modern European towns, ranging from the Mediterranean to the Nordic countries, with a time-span from the fourteenth to the early nineteenth century. Dealing with topics like succession and inheritance, family consciousness, as well as relations and conflicts within and between generations, the articles demonstrate the importance and potential of generational studies on pre-modern towns. The book will appeal to anyone who takes an interest in urban social and cultural history, legal and family history in medieval and early modern times",early medieval history,2009,Cambridge Scholars Press,,,https://core.ac.uk/download/5653.pdf,early medieval history
‘The Military Mirror of Kai’: Swordsmanship and a Medieval Text in Early Modern Japan,"Swordsmanship emerged as a new field of knowledge in early modern Japan (1600–1868), a time of relative peace. During the most violent periods of Japanese history, the latter half of the medieval period (1185–1600), samurai conducted warfare mostly on horseback, using the bow and arrow, or by leading massive armies filled with soldiers who used pikes, halberds, and even firearms. In this paper, I will trace the origins of early modern swordsmanship to the late 16th century during the transition between the medieval and early modern periods, when teachers of swordsmanship and their sword ‘styles’ first appeared in texts. Of these texts I will focus on ‘The Military Mirror of Kai’, purportedly written during the late 16th century, and a widely-read text among samurai of the early modern period. A mix of fact and fiction, the ‘Mirror’ became a source of fantasy and inspiration for samurai and non-samurai alike. It is also the earliest source of writing about swordsmanship, which was influenced by, and grew alongside, other medieval cultural arts such as Noh theater and tea ceremony",early medieval history,2014,e-Publications@Marquette,,,https://core.ac.uk/download/213084988.pdf,early medieval history
Hedonism Before Bentham,"The hedonistic theories of Jeremy Bentham and John Stuart Mill are both widely known. Hedonism before Bentham, however, is much less known and, hitherto, no systematic presentation of hedonism’s early history has been written. In this paper I seek to fill this gap in the literature by providing an overview of hedonism in early Indian and ancient Greek thought (Sections 1-4), in Roman and Medieval thought (Section 5), and from the Renaissance until the Enlightenment (Section 6)",early medieval history,2015,,,10.14324/111.2045-757x.007,https://core.ac.uk/download/29416166.pdf,early medieval history
Reformist hagiography : the life of St Roding of Beaulieu and the struggle for power in early eleventh-Century Lotharingia,"This paper explores an example of ‘reformist’ hagiographic production in early eleventh-century Lotharingia by focusing on the Life of St Roding of Beaulieu, a small monastery in the diocese of Verdun. Until recently, this text was interpreted exclusively in terms of the scant information it provides on this institution’s early medieval history and in terms of its ideological message regarding monastic discipline and leadership. By integrating the redaction of this text into the then-current regional geography and political context, this paper proposes a new approach to its interpretation and to the understanding of Beaulieu’s ‘monastic reform’ in general. Close analysis of the narrative reveals that its redaction was inspired by specific issues relating to local and regional politics in the mid-1010s, and that parts of the institution’s recent history were allegorically veiled behind the portrayal of Roding. However, rapid changes in power relationships rendered those aspects of the text outdated within a few years. This raises significant questions regarding the long-term relevance of such hidden stories and the degree to which their various ideological, political and other messages remained accessible to medieval audiences",early medieval history,2016,'Informa UK Limited',,10.1080/03044181.2016.1230512,https://core.ac.uk/download/55800812.pdf,early medieval history
The origins of intensive marine fishing in medieval Europe: the English evidence,"The catastrophic impact of fishing pressure on species such as cod and herring is well documented. However, the antiquity of their intensive exploitation has not been established. Systematic catch statistics are only available for ca. 100 years, but large-scale fishing industries existed in medieval Europe and the expansion of cod fishing from the fourteenth century (first in Iceland, then in Newfoundland) played an important role in the European colonization of the Northwest Atlantic. History has demonstrated the scale of these late medieval and post-medieval fisheries, but only archaeology can illuminate earlier practices. Zooarchaeological evidence shows that the clearest changes in marine fishing in England between AD 600 and 1600 occurred rapidly around AD 1000 and involved large increases in catches of herring and cod. Surprisingly, this revolution predated the documented post-medieval expansion of England's sea fisheries and coincided with the Medieval Warm Period-when natural herring and cod productivity was probably low in the North Sea. This counterintuitive discovery can be explained by the concurrent rise of urbanism and human impacts on freshwater ecosystems. The search for 'pristine' baselines regarding marine ecosystems will thus need to employ medieval palaeoecological proxies in addition to recent fisheries data and early modern historical records",early medieval history,2004,,,10.1098/rspb.2004.2885,https://core.ac.uk/download/57243.pdf,early medieval history
Medieval Christian Dualist Perceptions and Conceptions of Biblical Paradise,"The article intends to draw attention to some of the most significant and telling appropriations of traditional themes of Biblical paradise in medieval Christian dualism (namely, Paulicianism, Bogomilism and related groups in Eastern Christendom and Catharism in Western Christendom) and initiate discussion on the important but presently not always explicable problem of their theological and literary provenance. The significance of this problematic is highlighted by the increasing amount of direct and indirect evidence of the role played by a number of early Jewish and Christian pseudepigraphic works in the formation of medieval Christian dualist cosmogonic, cosmological, satanological, Christological and biblical history traditions. The preliminary survey of medieval dualist conceptions of biblical Paradise shows also once more that the doctrinal evidence for Bogomilism and Catharism is too complex and polyvalent to be defined or ignored apriori as representing medieval heresiological constructs drawing on earlier heresiological texts and stereotypes. The material examined in the article shows that the text-critical treatment of the primary sources to first establish the most plausible literary and theological provenance of the respective teachings attributed to medieval Christian dualist groups or individuals still remains indispensable to the study of medieval heresy and needs to precede the application of models and approaches drawn from contemporary anthropological and sociological theory to the source material",early medieval history,2013,Wydawnictwo Uniwersytetu Łódzkiego (Lodz University Press),,10.18778/2084-140x.03.11,https://core.ac.uk/download/71968900.pdf,early medieval history
And We cast upon his throne a mere body: A Historiographical Reading of Q. 38:34,"This paper focuses on Q. 38:34 from the perspective of early and medieval works of Islamic historiography and collections of tales of the prophets: the early tenth century works of 'Umara b. Wathima and Tabari, the eleventh century Tales of the Prophets by Tha'labi, the twelfth century folkloric collection of Kisa'i, along with Ibn 'Asakir's History of Damascus, the thirteenth century world history by Ibn al-Athir, and the fourteenth century historiographical work by Ibn Kathir. These various works are viewed not as any particular stage in the development of a genre, but as variations on a (Qur'anic) theme, and the avenue of medieval historiographers and storytellers is utilised as a bridge to explore various possible interpretations of the Qur'anic passage. Historiographers and storytellers provide us with an illustration of how lessons of admonition implied in the Qur'anic text were perceived in medieval Islamic society. They also, as will become clear, provide a picture of Solomon that is consistent with the Qur'anic figure as a whole",early medieval history,2004,'Edinburgh University Press',,10.3366/jqs.2004.6.1.103,https://core.ac.uk/download/9550838.pdf,early medieval history
The Dies Irae ( Day of Wrath ) and Totentanz ( Dance of Death ): Medieval Themes Revisited in 19th Century Music and Culture,"During the pivotal November 2002 football game of Arkansas vs. Georgia in the SEC conference championship, the Georgia marching band struck up their defensive rallying song. Instead of a typical defense song, the band played an excerpt of the Gregorian Sequence Dies Irae ( Day of Wrath\u27\u27) from the Roman Catholic Requiem Mass. Drastically dissociated from its original medieval milieu, this musical Sequence still manages to elicit the same effect of fear and foreboding nearly a thousand years later. Precisely because of its deep musical and cultural roots, the Dies Irae occupies a significant place in history, closely intertwined from early on with the medieval folk motif Totentanz ( Dance of Death ), widely depicted in medieval art, and dramatically revived in 19th century music, art, and literature. This multi-disciplinary study focuses on the history of art and music of these two medieval themes during their development, and then moves on to study them in 19th century culture. Specifically, the manipulation of the original Gregorian chant and the incorporation of the idea of a medieval dance are analyzed in the music of Hector Berlioz, Franz Liszt, and Camille Saint-Saens. Numerous other contextual links are explored as well, such as Johann Wolfgang von Goethe, Victor Hugo, Henri Cazalis, William Blake, and Alfred Rethel, all of whom created 19th century artistic or literary masterpieces derived from the thematic seeds of the Dies Irae and the Totentanz. Although neither of these ideas endured in their original form during the Romantic era, the inherently compelling nature of these themes that center on the macabre but inevitable end of life captivated the Romantic geniuses and continue to intrigue us to this day",early medieval history,2003,ScholarWorks@UARK,,,https://core.ac.uk/download/72842228.pdf,early medieval history
Patrologia Latina,"The Patrologia Latina Database offers 221 volumes of works written by the Latin Fathers. It is the extraordinary achievement of the nineteenth-century scholar and priest, Jacques-Paul Migne. It covers the works of the Latin Fathers from Tertullian around 200 a.d. to the death of Pope Innocent III in 1216 and contains the most influential works of late ancient and early medieval theology, philosophy, history, and literature. This review looks at the user interface and content details in this unique database offered by ProQuest",early medieval history,2011,DigitalCommons@Providence,,,https://core.ac.uk/download/56324232.pdf,early medieval history
The emergence of mercantilism as a reaction against Muslim power: some of the evidences from history,"In the early modern period, changing attitude of Medieval Europe towards trade as an outcome of encounter with Muslim scholars and rulers and consequently emergence of 'mercantilism' was a turning point in the history of economic thought. The paper documents evidences which prove that initially mercantilism was a reaction against Muslim powers. In the rise of mercantilism, discovery of the New World is considered a significant factor. The main objective before explorers and pioneers of mercantilism was to strengthen their governments through the acquisition of precious metal to regain the Holy Places, defeat the enemy, check the expanding power of Muslim rivals and spread Christianity. However, later it ended up in an effective economic movement.Mercantilism; History of Economic Thought; Medieval Economic History.",early medieval history,,,,,https://core.ac.uk/download/pdf/6583195.pdf,early medieval history
